reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,"['TCDM_11993-t26_1-p1', 'TCDM_06202-t26_1-p1', 'TCDM_06209-t26_1-p1']",1000.0,0.0
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,"['TCDM_11993-t26_1-p1', 'TCDM_06202-t26_1-p1', 'TCDM_06209-t26_1-p1']",1000.0,0.0
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,"['TCDM_11993-t26_1-p1', 'TCDM_06202-t26_1-p1', 'TCDM_06209-t26_1-p1']",1000.0,0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,"['TCDM_12658-t26_1-p1', 'TCDM_08980-t26_1-p1']",1000.0,0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,"['TCDM_12658-t26_1-p1', 'TCDM_08980-t26_1-p1']",1000.0,0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,"['TCDM_12658-t26_1-p1', 'TCDM_08980-t26_1-p1']",1000.0,0.0
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,['TCDM_07176-t26_1-p1'],1000.0,0.0
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,['TCDM_07176-t26_1-p1'],1000.0,0.0
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,"['TCDM_05925-t26_1-p1', 'TCDM_05926']",1000.0,0.0
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,"['TCDM_11993-t26_1-p1', 'TCDM_06202-t26_1-p1', 'TCDM_06209-t26_1-p1']",1000.0,0.0
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,"['TCDM_11993-t26_1-p1', 'TCDM_06202-t26_1-p1', 'TCDM_06209-t26_1-p1']",1000.0,0.0
