,0
2AGPGAT120,nonlethal
2AGPGAT141,nonlethal
2AGPGAT180,nonlethal
3HAD160,nonlethal
3OAR120,nonlethal
3OAR141,nonlethal
3OAR161,nonlethal
3OAS140,nonlethal
3OAS161,nonlethal
4HTHRS,nonlethal
AACPS5,nonlethal
AACPS6,nonlethal
AACPS9,nonlethal
ACACT2r,nonlethal
ACACT3r,nonlethal
ACCOAL,nonlethal
ACOAD1f,nonlethal
ACOAD7f,nonlethal
ACOATA,nonlethal
ACOTA,nonlethal
ACPPAT141,nonlethal
ACPPAT161,nonlethal
ADCS,nonlethal
ADNK1,nonlethal
AGPAT180,nonlethal
ALATA_L,nonlethal
ALATRS,lethal
ALCD2x,nonlethal
ARGTRS,lethal
ASPTA,nonlethal
ASPTRS,lethal
CBPS,nonlethal
CRNDCAL2,nonlethal
CTECOAI6,nonlethal
DASYN161,nonlethal
DHFS,nonlethal
DPR,nonlethal
DUTPDP,nonlethal
DXPRIi,nonlethal
E4PD,nonlethal
EAR100x,nonlethal
EAR120y,nonlethal
EAR140y,nonlethal
EAR141x,nonlethal
EAR161y,nonlethal
EAR180x,nonlethal
EAR180y,nonlethal
EAR181y,nonlethal
EAR40y,nonlethal
EAR80y,nonlethal
ECOAH1,nonlethal
ECOAH2,nonlethal
ECOAH6,nonlethal
ECOAH8,nonlethal
EPMEACPR,nonlethal
FBA,lethal
FBP,nonlethal
FUM,nonlethal
G3PAT141,nonlethal
G3PAT180,nonlethal
G3PT,nonlethal
GDMANE,nonlethal
GLCP,nonlethal
GLNS,nonlethal
GLUSy,nonlethal
GLUTRS,lethal
GLYCL,nonlethal
GMAND,nonlethal
GMHEPAT,nonlethal
GRXR,nonlethal
GTHOr,nonlethal
GTPCI,nonlethal
HBZOPT,nonlethal
HYPOE,nonlethal
I4FE4ST,nonlethal
ILETA,nonlethal
IMPD,nonlethal
LCADi,nonlethal
LIPATPT,nonlethal
LYSTRS,lethal
MACPD,nonlethal
MAN1PT2,nonlethal
MEPCT,nonlethal
METAT,nonlethal
MLTG5,nonlethal
MLTP1,nonlethal
MOADSUx,nonlethal
MOHMT,nonlethal
MPTSS,nonlethal
