,0
2AGPGAT120,nonlethal
2AGPGAT141,nonlethal
2AGPGAT180,nonlethal
3OAR120,nonlethal
3OAR141,nonlethal
3OAR161,nonlethal
3OAS140,nonlethal
3OAS161,nonlethal
AACPS5,nonlethal
AACPS6,nonlethal
AACPS9,nonlethal
ACCOAL,nonlethal
ACLS,nonlethal
ACOATA,nonlethal
ADNK1,lethal
AGPAT180,nonlethal
ALATRS,nonlethal
ALCD2x,nonlethal
APH140,nonlethal
APH160,nonlethal
APH161,nonlethal
ARGTRS,nonlethal
ASPTRS,nonlethal
DASYN161,nonlethal
DURIK1,nonlethal
DUTPDP,nonlethal
E4PD,nonlethal
G1PACT,nonlethal
GLCP,nonlethal
GLNS,lethal
GLUTRS,nonlethal
GMAND,nonlethal
GMHEPAT,nonlethal
GPDDA2,nonlethal
GPDDA3,nonlethal
GRXR,nonlethal
GTHOr,lethal
HBZOPT,nonlethal
I4FE4ST,nonlethal
IMPD,nonlethal
LALDO3,nonlethal
LYSTRS,nonlethal
MACPD,nonlethal
MAN1PT2,nonlethal
ME1,nonlethal
METAT,nonlethal
MGSA,nonlethal
MLTP1,nonlethal
MOADSUx,nonlethal
MPTSS,nonlethal
NADK,nonlethal
NDPK3,nonlethal
NDPK5,nonlethal
NDPK6,nonlethal
NTD10,nonlethal
NTD2,nonlethal
NTD5,nonlethal
NTD7,nonlethal
NTD8,nonlethal
NTP1,nonlethal
NTPP1,nonlethal
OCTDPS,nonlethal
PFK,nonlethal
PNTK,nonlethal
POR5,nonlethal
PPCDC,nonlethal
PSD120,nonlethal
PSD160,nonlethal
PYK,nonlethal
RNDR1b,nonlethal
RNDR2b,nonlethal
RNDR3,nonlethal
RNDR3b,nonlethal
RNDR4b,nonlethal
THFAT,nonlethal
TPI,lethal
TRDR,nonlethal
TRPS2,nonlethal
TRPS3,nonlethal
UDPGDC,nonlethal
VALTRS,nonlethal
HACD1i,nonlethal
HACD4i,nonlethal
HACD6i,nonlethal
THZPSN,nonlethal
2HMHMBQMTm,nonlethal
ACALDCD,nonlethal
ACGAMPM,nonlethal
AHCi,lethal
ALCD23yi,nonlethal
ALCD24yi,nonlethal
