,0
2AGPGAT120,nonlethal
2AGPGAT141,nonlethal
2AGPGAT180,nonlethal
3HAD160,nonlethal
3OAR120,nonlethal
3OAR141,nonlethal
3OAR161,nonlethal
3OAS140,nonlethal
3OAS161,nonlethal
AACPS5,nonlethal
AACPS6,nonlethal
AACPS9,nonlethal
ABTA,nonlethal
ACACT2r,nonlethal
ACACT3r,nonlethal
ACCOAL,nonlethal
ACOATA,nonlethal
ACOTA,nonlethal
ACPPAT141,nonlethal
ACPPAT161,nonlethal
ADCS,nonlethal
ADNK1,nonlethal
AGPAT180,nonlethal
ALATRS,lethal
AP5AH,nonlethal
ARGTRS,lethal
ASPTRS,lethal
CBPS,nonlethal
CFAS180E,nonlethal
DASYN161,nonlethal
DHFS,nonlethal
DUTPDP,lethal
DXPRIi,lethal
E4PD,nonlethal
EAR100x,nonlethal
EAR120y,nonlethal
EAR140y,nonlethal
EAR141x,nonlethal
EAR161y,nonlethal
EAR180x,nonlethal
EAR180y,nonlethal
EAR181y,nonlethal
EAR40y,nonlethal
EAR80y,nonlethal
ECOAH8,nonlethal
EPMEACPR,nonlethal
FUM,nonlethal
G1PACT,nonlethal
G3PAT141,nonlethal
G3PAT180,nonlethal
GLNS,nonlethal
GLUSy,nonlethal
GLUTRS,lethal
GLYCL,nonlethal
GMAND,nonlethal
GMHEPAT,nonlethal
GPDDA2,nonlethal
GRXR,nonlethal
GTHOr,nonlethal
GTHS,nonlethal
GTPCI,nonlethal
HBZOPT,nonlethal
HYPOE,nonlethal
I4FE4ST,nonlethal
ILETA,nonlethal
IMPD,lethal
IPMD,nonlethal
LEUTAi,nonlethal
LIPATPT,nonlethal
LYSTRS,lethal
MACPD,nonlethal
MAN1PT2,nonlethal
MEPCT,lethal
METAT,lethal
MOADSUx,nonlethal
MPTSS,nonlethal
NDPK3,nonlethal
NDPK5,nonlethal
NDPK6,nonlethal
NNAM,nonlethal
NTD10,nonlethal
NTD2,nonlethal
NTD5,nonlethal
NTD7,nonlethal
NTD8,nonlethal
NTP1,nonlethal
NTPP1,nonlethal
OCTDPS,lethal
PFK,nonlethal
PNTK,nonlethal
PPBNGS,nonlethal
